Shift = 14	Min clashes = 110	at step 92
Slot	classes	Clashes
0		13		22
1		32		0
2		12		16
3		27		0
4		14		30
5		18		0
6		5		10
7		17		0
8		7		6
9		15		0
10		7		12
11		17		0
12		9		22
13		12		0
14		10		12
15		14		0
16		8		0
17		11		0
18		6		0
19		7		0


Shift = 16	Min clashes = 122	at step 23
Slot	classes	Clashes
0		11		12
1		32		0
2		29		0
3		23		0
4		7		8
5		14		0
6		19		0
7		12		0
8		16		92
9		10		0
10		12		0
11		14		0
12		7		20
13		8		0
14		8		0
15		6		0
16		8		28
17		9		0
18		10		0
19		6		0


Shift = 18	Min clashes = 100	at step 43
Slot	classes	Clashes
0		13		20
1		32		0
2		10		26
3		27		0
4		10		6
5		18		0
6		9		10
7		17		0
8		5		0
9		15		0
10		9		14
11		17		0
12		6		4
13		13		0
14		11		4
15		8		0
16		7		4
17		12		0
18		9		14
19		13		0


